f,INFORMAÇÕES DE JEJUM,ATIVIDADE FÍSICA,RESTRIÇÃO DE MEDICAMENTO,INTERFERENTES
ANTI TIREOGLOBULINA (ATG),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
MARCADOR TUMORAL DE CANCER DE MAMA (CA15-3),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
17-HIDROXIPREDNENOLONA (17OH),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
5 ALFA DEHIDROTESTOSTERONA (DHT),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
A1 ANTI-TRIPSINA FECAL,"NÃO É NECESSÁRIO DIETA, NEM JEJUM ALIMENTAR.", , , 
ÁCIDO FÓLICO,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Não ingerir medicamentos com folato imediatamente antes da coleta. Não ingerir suplementos com biotina 3 dias antes da coleta., 
ÁCIDO ÚRICO,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ÁCIDO ÚRICO 24HORAS,"ESTE EXAME NÃO NECESSITA DE JEJUM. DESPREZAR A PRIMEIRA URINA DA MANHÃ, E A PARTIR DA SEGUNDA URINA DO DIA ATÉ A PRIMEIRA URINA DO DIA SEGUINTE COLETAR NO FRASCO FORNECIDO. ", ,Informar o uso de medicamentos diuréticos e agentes anti-tumorais., 
ÁCIDO VALPRÓICO,ESTE EXAME NÃO NECESSITA DE JEJUM. , ,Informar os medicamento utilizados nos últimos 7 dias., 
ADENOVÍRUS,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALANINA AMINOTRANSFERASE (TGP),ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALBUMINA,ESTE EXAME NÃO NECESSITA DE JEJUM. , , ,"A recomendação é que a coleta seja realizada pela manhã, por causa das flutuações nos níveis de albumina ao longo do dia."
ALDOLASE,JEJUM DE 4 HORAS.,Não realizar atividade física vigorosa 3 dias antes da coleta., , 
ALERGENO  RF14,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO  RF24,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
ALERGENO CT17,ESTE EXAME NÃO NECESSITA DE JEJUM. , , , 
